Code,Name,Symptoms,Treatments
250,Tension Headache,"Mild to moderate head pain, tightness or pressure sensation on both sides of head","Over-the-counter pain relievers, relaxation techniques, stress management"
251,Alcohol Intoxication,"Slurred speech, impaired coordination, confusion","Supportive care, ensuring hydration, monitoring vital signs, prevention of complications"
252,Scurvy,"Fatigue, swollen and bleeding gums, joint pain","Vitamin C supplementation, dietary changes, oral hygiene maintenance"
253,Narcolepsy,"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)","Stimulant medications, antidepressants, lifestyle modifications, scheduled naps"
254,Food Allergy,"Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms","Avoidance of allergenic food, antihistamines, epinephrine (in severe cases)"
255,Labyrinthitis,"Vertigo, dizziness, nausea, hearing loss, ear pain","Medications (antibiotics, antivirals), vestibular rehabilitation therapy"
256,Anxiety,"Excessive worrying, restlessness, increased heart rate, panic attacks","Therapy (cognitive-behavioral therapy, psychotherapy), medications (antidepressants, anti-anxiety drugs)"
257,Impulse Control Disorder,"Impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges","Psychotherapy, medication (in some cases), support groups, behavioral interventions"
258,Stenosis of the Tear Duct,"Excessive tearing, eye discharge, recurrent eye infections","Tear duct probing, dilation, surgical correction"
259,Abscess of Nose,"Pain, swelling, redness, discharge from the nose","Antibiotics, warm compresses, surgical drainage (in severe cases)"
260,Omphalitis,"Redness, swelling, discharge, foul odor around the umbilical area","Antibiotics, wound care, surgical intervention (in severe cases)"
261,Leukemia,"Fatigue, pale skin, frequent infections, easy bleeding or bruising","Chemotherapy, radiation therapy, stem cell transplant, targeted therapy, supportive care"
262,Bell Palsy,"Facial weakness or paralysis, drooping of the mouth or eyelid","Corticosteroids, antiviral medications, eye protection, physical therapy"
263,Conjunctivitis due to Allergy,"Redness, itching, watery discharge, swollen eyelids","Allergen avoidance, antihistamine eye drops, cold compresses, lubricating eye drops"
264,Drug Reaction,"Rash, itching, swelling, fever, respiratory symptoms","Discontinuation of the offending drug, supportive care, antihistamines, corticosteroids (in severe cases)"
265,Adrenal Cancer,"Abdominal or back pain, unexplained weight loss, hormonal imbalances","Surgery (adrenalectomy), chemotherapy, radiation therapy, targeted therapy, hormone replacement therapy"
266,Myopia,"Blurred distance vision, eyestrain, squinting","Eyeglasses, contact lenses, refractive surgery (LASIK), orthokeratology (for some cases)"
267,Osteoarthritis,"Joint pain, stiffness, swelling","Pain relievers, physical therapy, weight management, assistive devices, surgery (in severe cases)"
268,Thyroid Disease,"Fatigue, weight changes, mood swings, dry skin","Medications (thyroid hormone replacement, antithyroid drugs), radioactive iodine therapy, surgery (in some cases)"
269,Pharyngitis,"Sore throat, difficulty swallowing, swollen lymph nodes","Rest, pain relievers, throat lozenges, antibiotics (if bacterial infection), symptomatic relief"
270,Chronic Rheumatic Fever,"Joint pain, fever, rash, heart inflammation","Antibiotics (to treat streptococcal infections), anti-inflammatory medications, medications for heart complications"
271,Hypocalcemia,"Numbness or tingling in fingers or around the mouth, muscle cramps","Calcium and vitamin D supplements, treating underlying causes, intravenous calcium (in severe cases)"
272,Macular Degeneration,"Blurred or distorted central vision, blind spots","Vision aids, medications (injections into the eye), laser therapy, photodynamic therapy, surgical intervention"
273,Pneumonia,"Cough, fever, chest pain, difficulty breathing","Antibiotics, antiviral medications (if applicable), rest, fluids, symptomatic relief"
274,Cold Sore,"Small, painful blisters on the lips or around the mouth","Antiviral medications (topical or oral), pain relievers, antiviral creams, self-care measures"
275,Premature Ventricular Contractions (PVCs),"Skipped or extra heartbeats, palpitations, lightheadedness","Monitoring (in most cases), lifestyle changes, medications (beta-blockers, antiarrhythmics)"
276,Chancroid,"Painful ulcers or sores on the genital area, swollen lymph nodes in the groin","Antibiotics (such as azithromycin or ceftriaxone), pain management, warm compresses, good hygiene"
277,Testicular Cancer,"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape","Surgery (orchiectomy), chemotherapy, radiation therapy, surveillance (for some cases)"
278,Hydrocephalus,"Headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants","Shunt placement (to divert excess cerebrospinal fluid), endoscopic third ventriculostomy, medication (in some cases)"
279,Breast Cancer,"Breast lump, changes in breast size or shape, nipple changes, breast pain","Surgery (lumpectomy or mastectomy), radiation therapy, chemotherapy, hormone therapy, targeted therapy"
280,Anemia due to Malignancy,"Fatigue, weakness, shortness of breath, pale skin","Treating underlying malignancy, blood transfusions, medications (erythropoiesis-stimulating agents, iron supplements)"
281,Esophageal Varices,"Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools","Medications (beta-blockers, vasoconstrictors), endoscopic therapies, band ligation, transjugular intrahepatic portosystemic shunt (TIPS), surgical interventions"
282,Endometrial Cancer,"Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits","Surgery (hysterectomy), radiation therapy, chemotherapy, hormone therapy"
283,Cystic Fibrosis,"Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin","Medications (mucus-thinning drugs, bronchodilators), chest physical therapy, enzyme supplements, lung transplant (in severe cases)"
284,Intertrigo,"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation","Keeping the affected area clean and dry, applying topical antifungal or antibacterial creams, using barrier creams"
285,Parathyroid Adenoma,"Fatigue, weakness, bone pain, frequent urination, kidney stones","Surgical removal of the adenoma (parathyroidectomy), medications to manage calcium levels"
286,Glucocorticoid Deficiency,"Fatigue, weakness, weight loss, low blood pressure, abdominal pain",Hormone replacement therapy with glucocorticoid medications
287,Temporomandibular Joint Disorder,"Jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth","Self-care measures (rest, applying heat or cold, jaw exercises), pain medications, physical therapy, oral splints"
288,Wilson Disease,"Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)","Medications to remove copper from the body (chelators), dietary changes, liver transplant (in severe cases)"
289,Vesicoureteral Reflux,"Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)","Antibiotics, bladder training exercises, surgical correction (in some cases)"
290,Vitamin A Deficiency,"Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system","Vitamin A supplementation, dietary changes to include foods rich in vitamin A"
291,Gonorrhea,"Painful urination, abnormal discharge from the genitals, pelvic pain","Antibiotics (dual therapy with ceftriaxone and azithromycin), safe sexual practices, partner notification"
292,Fracture of the Rib,"Chest pain, difficulty breathing, tenderness or swelling over the ribcage","Pain management, rest, immobilization (splinting or bracing), physical therapy"
293,Ependymoma,"Headaches, nausea, seizures, changes in coordination or balance","Surgery, radiation therapy, chemotherapy, targeted therapy, rehabilitation"
294,Hepatitis due to a Toxin,"Fatigue, jaundice, abdominal pain, nausea, vomiting","Supportive care, removal or avoidance of the toxic substance, management of symptoms"
295,Vaginal Cyst,"Small lump or swelling in the vaginal wall, discomfort or pain during intercourse","Observation (if asymptomatic), warm compresses, sitz baths, surgical removal (if necessary)"
296,Chronic Knee Pain,"Persistent knee pain, stiffness, swelling, limited range of motion","Pain management, physical therapy, lifestyle modifications, knee braces or supports"
297,Pinguecula,"Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea","Artificial tears, lubricating eye drops, sunglasses for UV protection, surgical removal (in severe cases)"
298,Hypergammaglobulinemia,"Elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions","Treatment of underlying cause or associated condition, immunosuppressive therapy (in some cases)"
299,Pituitary Disorder,"Various symptoms depending on the specific disorder, including hormonal imbalances","Treatment depends on the specific pituitary disorder and may involve medications, surgery, hormone replacement therapy"
300,Kidney Stone,"Severe pain in the side or back, blood in the urine, frequent urination","Pain management, increased fluid intake, medication to facilitate stone passage, minimally invasive procedures or surgery"
301,Autism,"Challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors","Behavioral therapy, educational interventions, speech and language therapy, medications for associated symptoms"
302,Cat Scratch Disease,"Swollen lymph nodes, fever, fatigue, headache, rash","Antibiotics (azithromycin, doxycycline), pain management, supportive care"
303,Chronic Glaucoma,"Gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights","Eye drops (to reduce intraocular pressure), oral medications, laser therapy, surgery (trabeculectomy, implantable devices), regular eye exams"
304,Retinal Detachment,"Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss","Surgical intervention (pneumatic retinopexy, scleral buckle, vitrectomy), laser therapy, cryotherapy, gas or silicone oil injection, positioning, regular eye exams"
305,Aplastic Anemia,"Fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising","Blood transfusions, bone marrow-stimulating medications, immunosuppressive therapy, stem cell transplant (in severe cases), supportive care"
306,Overflow Incontinence,"Frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream","Bladder training exercises, double voiding, catheterization, medications (alpha-blockers, anticholinergics), surgery (in severe cases), lifestyle modifications"
307,Rabies,"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing","Immediate medical attention (post-exposure prophylaxis), wound care, administration of rabies vaccine and immunoglobulin, supportive care, monitoring and management of symptoms"
308,Hemolytic Anemia,"Fatigue, weakness, pale skin, shortness of breath, jaundice","Treatment of underlying cause, blood transfusions, medications (immunosuppressants, corticosteroids), splenectomy (in some cases), supportive care, folic acid or iron supplementation"
309,Lateral Epicondylitis (Tennis Elbow),"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements","Rest, ice or cold therapy, compression, elbow brace or strap, pain relievers, physical therapy exercises, corticosteroid injections (in severe cases), ergonomic modifications"
310,Syphilis,"Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs","Antibiotics (usually penicillin), treatment of complications, regular follow-up and testing"
311,Diabetic Kidney Disease,"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite","Blood pressure control, blood sugar control, medications to protect the kidneys (such as ACE inhibitors or ARBs), lifestyle modifications (healthy diet, regular exercise, quitting smoking), management of underlying diabetes, treatment of complications (such as dialysis or kidney transplantation in advanced stages)"
312,Nose Disorder,"Nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell","Treatment depends on the underlying cause (such as allergies, sinusitis, or nasal polyps), and may include medications (such as decongestants, antihistamines, nasal sprays), saline nasal irrigation, steam inhalation, allergy management, antibiotics (if bacterial infection is present), surgical intervention (in some cases)"
313,Drug Withdrawal,"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings","Gradual tapering of the drug under medical supervision, medications to manage withdrawal symptoms (such as benzodiazepines, clonidine, or buprenorphine), behavioral therapy, support groups, counseling, rehabilitation programs"
314,Dental Caries,"Toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath","Dental fillings, crowns, root canal treatment, tooth extraction (in severe cases), oral hygiene practices (brushing and flossing), regular dental check-ups, fluoride treatments, dietary modifications (reducing sugary and acidic foods and drinks), dental sealants (for prevention), education on proper oral care"
315,Hypercholesterolemia,"High levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes","Lifestyle modifications (healthy diet, regular exercise, weight management, smoking cessation), medications to lower cholesterol levels (such as statins), regular monitoring of cholesterol levels, management of underlying conditions (such as diabetes or high blood pressure), potential additional treatments (such as bile acid sequestrants or PCSK9 inhibitors)"
316,Fracture of the Patella,"Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity","Immobilization (splint, cast, or brace), pain management, physical therapy, exercises to restore mobility and strength, potential surgical intervention (in severe cases or if displacement is present)"
317,Kidney Failure,"Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures","Treatment depends on the underlying cause and may include medications to manage blood pressure and symptoms, dietary modifications (restricting salt, protein, and potassium), dialysis (hemodialysis or peritoneal dialysis) or kidney transplantation (in end-stage kidney failure), treatment of complications, management of fluid and electrolyte balance, lifestyle modifications (exercise, quitting smoking, healthy diet)"
318,Fracture of the Neck,"Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs","Immobilization (cervical collar, brace), pain management, potential surgical intervention (in severe cases)"
319,Muscle Spasm,"Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion","Stretching and relaxation exercises, heat or cold therapy, over-the-counter pain relievers, muscle relaxants, physical therapy, lifestyle modifications"
320,Hemophilia,"Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles","Replacement therapy with clotting factor concentrates, medications to control bleeding, physical therapy, joint protection measures, genetic counseling and testing for family members"
321,Hyperosmotic Hyperketotic State,"Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor","Insulin therapy to regulate blood sugar levels, intravenous fluids to correct dehydration, electrolyte replacement, correction of underlying causes (e.g., diabetes management)"
322,Peritonsillar Abscess,"Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness","Antibiotics to treat infection, drainage of the abscess (needle aspiration or incision and drainage), pain relievers, warm saltwater gargles, rest, fluids, surgical removal of the tonsils (in chronic or recurrent cases)"
323,Gastroparesis,"Nausea, vomiting, early satiety, bloating, abdominal pain, poor appetite","Dietary modifications (small, frequent meals; low-fiber, low-fat diet), medication to promote gastric emptying, managing underlying cause if possible"
324,Fat Embolism,"Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms","Supportive care (oxygen therapy, fluid resuscitation), managing symptoms (pain medication, anticoagulants), treatment of underlying cause if possible"
325,Polycythemia Vera,"Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen","Phlebotomy (removal of blood), medication (hydroxyurea, interferon), low-dose aspirin, managing complications (blood thinners, medication for itching)"
326,Thrombocytopenia,"Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding","Treatment of underlying cause, platelet transfusion (if severe), medication (corticosteroids, immunosuppressants), avoiding medications that can worsen platelet counts"
327,Head and Neck Cancer,"Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss","Treatment depends on the specific type and stage of cancer, and may include surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy"
328,Pseudohypoparathyroidism,"Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face","Calcium and vitamin D supplementation, management of complications, hormone replacement therapy (if necessary)"
329,Goiter,"Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing","Treatment depends on the underlying cause (medication, radioactive iodine therapy, surgery)"
330,Urge Incontinence,"Sudden, intense urge to urinate followed by involuntary urine leakage","Behavioral therapies (bladder training, pelvic floor exercises), medications (anticholinergics, beta-3 agonists), medical devices"
331,Edward Syndrome,"Developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects","Supportive care, addressing associated medical issues, early intervention programs, palliative care"
332,Muscular Dystrophy,"Progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting","Supportive care, physical therapy, assistive devices, medications for symptom management, gene therapies (in some cases)"
333,Mittelschmerz,Lower abdominal pain and discomfort occurring around the time of ovulation,"Pain management (over-the-counter pain relievers, heat therapy), hormonal birth control (if severe or recurrent)"
334,Corneal Abrasion,"Eye pain, redness, foreign body sensation, sensitivity to light","Eye patching, lubricating eye drops, antibiotic ointments (if infected), avoiding further eye irritation"
335,Anemia of Chronic Disease,"Fatigue, weakness, pale skin, shortness of breath, decreased exercise tolerance","Treating the underlying chronic disease, addressing nutritional deficiencies, blood transfusions (in severe cases)"
336,Dysthymic Disorder,"Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years","Psychotherapy (cognitive-behavioral therapy, interpersonal therapy), antidepressant medications"
337,Scarlet Fever,"Sore throat, fever, rash (red, sandpaper-like), swollen glands","Antibiotics (such as penicillin or erythromycin), rest, fluids, symptomatic relief"
338,Hypertensive Heart Disease,"High blood pressure, chest pain or discomfort, shortness of breath, fatigue","Medications (antihypertensives), lifestyle changes (healthy diet, exercise, stress management), treatment of underlying conditions"
339,Drug Abuse (Barbiturates),"Sedation, drowsiness, slurred speech, confusion, respiratory depression","Medical detoxification, supportive care, counseling, rehabilitation programs"
340,Polycystic Ovarian Syndrome,"Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts","Lifestyle changes (diet, exercise, weight management), hormonal contraceptives, fertility treatments (if needed)"
341,Encephalitis,"Headache, fever, confusion, seizures, neurological symptoms","Hospitalization, antiviral medications (if caused by a viral infection), supportive care"
342,Cyst of the Eyelid,"Painful lump or swelling on the eyelid, redness, tenderness","Warm compresses, good eyelid hygiene, antibiotic ointments (if infected), surgical removal (if necessary)"
343,Balanitis,"Inflammation of the glans penis (tip of the penis), redness, swelling, pain","Good hygiene, topical antifungal or antibacterial creams, corticosteroid creams (if severe), treating underlying causes"
344,Foreign Body in the Throat,"Sensation of a foreign object stuck in the throat, difficulty swallowing or speaking","Immediate medical attention, removal of the foreign body, evaluation for any complications"
345,Drug Abuse (Cocaine),"Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke","Medical detoxification, counseling, behavioral therapies, support groups"
346,Optic Neuritis,"Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters","High-dose intravenous corticosteroids, treatment of underlying cause, symptom management, visual rehabilitation"
347,Intestinal Malabsorption,"Chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive","Dietary modifications (specific to the underlying cause), supplementation of deficient nutrients, medications (to manage symptoms or underlying condition), treatment of underlying cause"
348,Lead Poisoning,"Fatigue, abdominal pain, joint pain, memory loss or cognitive difficulties, developmental delays (in children), anemia","Removal of lead source, chelation therapy (in severe cases), supportive care, medication to manage symptoms, addressing complications (such as anemia)"
349,Viral Warts,"Small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions","Topical treatments (salicylic acid, cryotherapy), laser therapy, surgical removal, immune therapy (for persistent or recurrent cases)"
350,Hyperhidrosis,"Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities","Antiperspirants, medications (anticholinergics, beta blockers), iontophoresis, Botox injections, surgical interventions (sympathectomy, sweat gland removal)"
351,Stroke,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache","Emergency medical attention, medication (clot-busting drugs, anticoagulants), supportive care, rehabilitation (physical therapy, speech therapy), lifestyle modifications (diet, exercise, smoking cessation), addressing underlying risk factors"
352,Pilonidal Cyst,"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation","Warm compresses, pain management, antibiotics (for infection), incision and drainage, surgical removal or excision, wound care, lifestyle modifications to prevent recurrence"
353,Crushing Injury,"Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area","Emergency medical attention, immobilization, pain management, surgery (to repair or reconstruct affected tissues), rehabilitation (physical therapy, occupational therapy)"
354,Normal Pressure Hydrocephalus,"Gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms","Ventriculoperitoneal shunt placement, medication management for symptoms"
355,Alopecia,"Hair loss or balding, patchy or generalized hair loss","Topical medications (minoxidil), oral medications (finasteride), steroid injections, hair transplant surgery, wigs or hairpieces"
356,Hashimoto Thyroiditis,"Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold","Thyroid hormone replacement (levothyroxine), monitoring and management of symptoms"
357,Flat Feet,"Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling","Supportive footwear, orthotic inserts, physical therapy exercises, pain management, surgery (in severe cases)"
358,Nonalcoholic Liver Disease (NASH),"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance","Lifestyle changes (weight loss, healthy diet, regular exercise), management of underlying conditions, medication as needed"
359,Hemarthrosis,"Joint swelling, pain, warmth, limited range of motion","RICE method (Rest, Ice, Compression, Elevation), pain management, joint aspiration or drainage (in severe cases)"
360,Pelvic Organ Prolapse,"Pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse","Pelvic floor exercises, pessary use, hormone therapy, surgical repair (in severe cases)"
361,Fracture of the Arm,"Pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising","Immobilization (cast or splint), pain management, physical therapy, surgery (in complex fractures)"
362,Coagulation (Bleeding) Disorder,"Easy bruising, prolonged bleeding after injury or surgery, excessive bleeding from minor cuts or abrasions, frequent nosebleeds, heavy menstrual bleeding","Blood transfusions, clotting factor replacement therapy, medications to stimulate clotting, lifestyle modifications, surgery (in some cases)"
363,Intracranial Hemorrhage,"Severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures","Emergency medical attention, surgery (if needed), medications to control bleeding and manage symptoms"
364,Hyperkalemia,"Muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting","Treatment of underlying cause, medications to reduce potassium levels, dietary modifications, dialysis (in severe cases)"
365,Cornea Infection,"Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light","Antibiotic or antifungal eye drops, oral medications, supportive care, possible corneal transplant (in severe cases)"
366,Abscess of the Lung,"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue","Antibiotics, drainage or surgical removal of the abscess, supportive care, management of underlying lung conditions"
367,Dengue Fever,"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies","Supportive care (hydration, pain relievers, rest), monitoring, medical attention for severe cases (fluid replacement, blood transfusion, hospitalization)"
368,Chronic Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue","Saline nasal irrigation, nasal corticosteroids, antibiotics (in bacterial cases), decongestants, pain relievers, surgery (in severe or chronic cases)"
369,Cholesteatoma,"Ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus","Surgical removal, antibiotics (for associated infections)"
370,Volvulus,"Abdominal pain, nausea, vomiting, bloating, constipation, bloody stool",Emergency surgery to untwist the affected organ and restore blood flow
371,Injury to the Finger,"Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger","RICE method (Rest, Ice, Compression, Elevation), splinting, pain medication, physical therapy, surgery (in severe cases)"
372,Poisoning due to Analgesics,"Nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress","Immediate medical attention, activated charcoal administration, supportive care, antidote (if available), treatment for complications"
373,Atrial Fibrillation,"Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue","Medications (antiarrhythmics, anticoagulants), electrical cardioversion, catheter ablation, lifestyle changes"
374,Pinworm Infection,"Itching around the anus or vagina, restless sleep, irritability, anal or vaginal discharge, abdominal pain or discomfort, loss of appetite","Anthelmintic medication, hygiene measures (handwashing, trimming nails, laundering bedding), treatment for household members"
375,Urethral Valves,"Difficulty or poor urinary stream, urinary tract infections, urinary frequency or urgency, abdominal distension, poor weight gain","Surgical intervention (valve ablation or resection), catheterization, medications for symptoms and complications"
376,Migraine,"Severe headaches, nausea, sensitivity to light and sound","Pain-relieving medications, lifestyle changes, preventive medications"
377,Arthritis,"Joint pain, stiffness, swelling","Medications, physical therapy, surgery (in severe cases)"
378,Sciatica,"Lower back pain, leg pain, numbness or tingling","Pain relievers, physical therapy, exercise"
379,Complex Regional Pain Syndrome (CRPS),"Intense burning pain, swelling, changes in skin temperature","Physical therapy, medications, nerve blocks"
380,Lupus,"Joint pain, fatigue, skin rashes","Medications (anti-inflammatory, immunosuppressants), lifestyle modifications"
381,Endometriosis,"Pelvic pain, painful periods, infertility","Pain medications, hormonal therapies, surgery"
382,Chronic Headache,"Persistent head pain, tension in neck and shoulders","Pain-relieving medications, relaxation techniques, stress management"
383,Dry Skin,"Dry, flaky skin with itching","Moisturizing creams or lotions, avoiding hot showers or baths, using mild soaps"
384,Eczema,"Itchy, red, inflamed skin, rash","Emollients (moisturizers), topical corticosteroids or immunomodulators, avoiding triggers"
385,Psoriasis,"Red, scaly patches on the skin, itching","Topical treatments (corticosteroids, salicylic acid), systemic medications (retinoids, immunosuppressants), phototherapy"
386,Scabies,"Intense itching, especially at night, small blisters or bumps","Prescription medications (topical or oral scabicides), washing clothes and bedding in hot water, vacuuming and cleaning home"
387,Urticaria (Hives),"Raised, itchy welts on the skin","Antihistamines, avoiding triggers, corticosteroids (in severe cases)"
388,Insect Bites,"Red, swollen, itchy bumps","Topical corticosteroids, oral antihistamines, cold compresses"
389,Contact Dermatitis,"Itchy, red rash caused by contact with irritants or allergens","Avoiding the trigger, corticosteroid creams or ointments, antihistamines"
390,Dermatitis due to Sun Exposure,"Sunburn-like rash, redness, itching","Moisturizers, cool compresses, topical corticosteroids"
391,Parasitic Infections,"Intense itching, visible lice or nits in the affected area","Prescription medications (topical or oral antiparasitic agents), washing clothes and bedding in hot water"
392,Influenza (Flu),"High fever, body aches, fatigue, cough, sore throat, congestion","Rest, fluids, over-the-counter medications for symptom relief, antiviral medications (in some cases)"
393,Urinary Tract Infection (UTI),"Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain","Antibiotics, increased fluid intake, pain relievers"
394,Bronchitis,"Persistent cough with yellow or green mucus, chest congestion, fatigue","Rest, fluids, over-the-counter cough suppressants, inhalers (if prescribed), treating underlying cause"
395,Gastroenteritis (Stomach Flu),"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever","Rest, fluids (electrolyte solutions), bland diet, avoiding irritating foods, over-the-counter medications for symptom relief"
396,Urinary Stones (Kidney Stones),"Severe abdominal or back pain, blood in urine, frequent urination, pain during urination","Pain management, increased fluid intake, medications to help pass the stones, procedures or surgery"
397,Osteoporosis,"Fragile bones, loss of height over time, back pain, fractures","Calcium and vitamin D supplements, regular exercise, medications to slow bone loss"
398,Rheumatoid Arthritis,"Joint pain, stiffness, swelling, fatigue, loss of appetite","Medications (nonsteroidal anti-inflammatory drugs, disease-modifying antirheumatic drugs), physical therapy, exercise"
399,Type 1 Diabetes,"Frequent urination, Increased thirst, Weight loss","Insulin therapy, Blood sugar monitoring, Healthy eating, Regular exercise"
400,Type 2 Diabetes,"Fatigue, Increased hunger, Slow healing of wounds","Oral medications, Insulin therapy (in some cases), Blood sugar monitoring, Exercise"
